A,BundeslandId,Altersgruppe,AnzFallM,AnzFallW,AnzTodesfallM,AnzTodesfallW,AnzFall100kM,AnzFall100kW,AnzTodesfall100kM,AnzTodesfall100kW,ObjectId
7140,7,A15-A34,703,673,0,0,6247.8,6658.8,0,0,865
7320,7,A00-A04,25,23,0,0,3324.5,3271.7,0,0,866
7311,7,A15-A34,549,497,0,0,9677.4,9375.6,0,0,867
6436,6,A15-A34,1971,1773,1,0,7747.6,7507.6,3.9,0,868
7140,7,A35-A59,971,1030,6,2,5445,5756.8,33.6,11.2,869
7320,7,A05-A14,94,79,0,0,6381.5,5270.2,0,0,870
7311,7,A35-A59,544,590,2,5,6711.9,7333.7,24.7,62.2,871
6436,6,A35-A59,2681,2526,6,3,6191.4,5671.7,13.9,6.7,872
7140,7,A60-A79,442,406,19,11,3608.5,3225.3,155.1,87.4,873
7320,7,A15-A34,183,214,0,0,4295.8,5971,0,0,874
7311,7,A60-A79,195,215,9,4,4077.8,3695.4,188.2,68.8,875
6436,6,A60-A79,783,778,51,21,3433.5,2955.4,223.6,79.8,876
7140,7,A80+,150,359,31,41,5093.4,7589.9,1052.6,866.8,877
7320,7,A35-A59,245,240,1,1,4394.6,4399.6,17.9,18.3,878
7311,7,A80+,70,161,18,20,4557.3,6534.1,1171.9,811.7,879
6436,6,A80+,275,429,80,79,3935.9,4301.2,1145,792.1,880
7141,7,A00-A04,86,87,0,0,3078,3152.2,0,0,881
7320,7,A60-A79,80,84,4,1,2139.6,1970.9,107,23.5,882
7312,7,A00-A04,85,79,0,0,3476.5,3317.9,0,0,883
6437,6,A00-A04,94,87,0,0,4174.1,4241.8,0,0,884
7141,7,A05-A14,290,297,0,0,5245.1,5554.5,0,0,885
7320,7,A80+,19,24,1,1,1825.2,1447.5,96.1,60.3,886
7312,7,A05-A14,304,300,0,0,7537.8,7878.2,0,0,887
6437,6,A05-A14,361,315,0,0,8542.4,7675.4,0,0,888
7141,7,A15-A34,804,780,0,0,6174.2,6580.6,0,0,889
7331,7,A00-A04,115,148,0,0,3529.8,4527.4,0,0,890
7331,7,A05-A14,471,418,0,0,7514.4,6994.6,0,0,891
7331,7,A15-A34,1046,1013,0,0,7261.9,7673.7,0,0,892
7331,7,A35-A59,1325,1421,5,0,5674.3,6095.3,21.4,0,893
7331,7,A60-A79,514,491,26,15,3510.7,3219.7,177.6,98.4,894
7331,7,A80+,164,320,41,57,5391.2,6748.2,1347.8,1202,895
7332,7,A00-A04,94,105,0,0,3150.1,3610.7,0,0,896
7332,7,A05-A14,345,277,0,0,5887.4,5121.1,0,0,897
7332,7,A15-A34,817,834,0,0,6203,6881.8,0,0,898
7332,7,A35-A59,1099,1223,3,1,4785.5,5146.7,13.1,4.2,899
7332,7,A60-A79,511,506,26,23,3188,2872.4,162.2,130.6,900
7332,7,A80+,219,402,55,58,5349.3,6605.3,1343.4,953,901
7333,7,A00-A04,52,57,0,0,2968,3315.9,0,0,902
