AdmUnitId,Kreis,X,Anteilueber65-Jaehrigen
6634,Schwalm-Eder-Kreis,Landkreis,24
6635,Waldeck-Frankenberg,Landkreis,23
6636,Werra-Mei�ner-Kreis,Landkreis,26
7111,Koblenz,kreisfreieStadt,22
7131,Ahrweiler,Landkreis,25
7132,Altenkirchen(Westerwald),Landkreis,23
7133,BadKreuznach,Landkreis,24
7134,Birkenfeld,Landkreis,24
7135,Cochem-Zell,Landkreis,25
7137,Mayen-Koblenz,Landkreis,22
7138,Neuwied,Landkreis,22
7140,Rhein-Hunsr�ck-Kreis,Landkreis,23
7141,Rhein-Lahn-Kreis,Landkreis,24
7143,Westerwaldkreis,Landkreis,21
7211,Trier,kreisfreieStadt,18
7231,Bernkastel-Wittlich,Landkreis,23
7232,EifelkreisBitburg-Prüm,Landkreis,21
7233,Vulkaneifel,Landkreis,25
7235,Trier-Saarburg,Landkreis,21
7311,Frankenthal(Pfalz),kreisfreieStadt,23
7312,Kaiserslautern,kreisfreieStadt,20
7313,LandauinderPfalz,kreisfreieStadt,19
7314,LudwigshafenamRhein,kreisfreieStadt,19
7315,Mainz,kreisfreieStadt,18
7316,NeustadtanderWeinstraße,kreisfreieStadt,25
7317,Pirmasens,kreisfreieStadt,26
7318,Speyer,kreisfreieStadt,23
7319,Worms,kreisfreieStadt,21
7320,Zweibr�cken,kreisfreieStadt,23
7331,Alzey-Worms,Landkreis,20
7332,BadDürkheim,Landkreis,24
7333,Donnersbergkreis,Landkreis,22
7334,Germersheim,Landkreis,20
7335,Kaiserslautern,Landkreis,22
7336,Kusel,Landkreis,24
7337,S�dlicheWeinstraße,Landkreis,24
7338,Rhein-Pfalz-Kreis,Landkreis,23
7339,Mainz-Bingen,Landkreis,21
7340,S�dwestpfalz,Landkreis,26
8111,Stuttgart,kreisfreieStadt,18
8115,B�blingen,Landkreis,20
8116,Esslingen,Landkreis,21
8117,G�ppingen,Landkreis,22
8118,Ludwigsburg,Landkreis,20
8119,Rems-Murr-Kreis,Landkreis,21
8121,Heilbronn,kreisfreieStadt,19
8125,Heilbronn,Landkreis,19
8126,Hohenlohekreis,Landkreis,20
8127,Schw�bischHall,Landkreis,20
8128,Main-Tauber-Kreis,Landkreis,23
8135,Heidenheim,Landkreis,22
8136,Ostalbkreis,Landkreis,21
8211,Baden-Baden,kreisfreieStadt,26
8212,Karlsruhe,kreisfreieStadt,19
8215,Karlsruhe,Landkreis,21
8216,Rastatt,Landkreis,22
8221,Heidelberg,kreisfreieStadt,17
8222,Mannheim,kreisfreieStadt,18
8225,Neckar-Odenwald-Kreis,Landkreis,22
8226,Rhein-Neckar-Kreis,Landkreis,22
8231,Pforzheim,kreisfreieStadt,20
8235,Calw,Landkreis,21
8236,Enzkreis,Landkreis,21
8237,Freudenstadt,Landkreis,21
8311,FreiburginBreisgau,kreisfreieStadt,17
8315,Breisgau-Hochschwarzwald,Landkreis,22
8316,Emmendingen,Landkreis,21
8317,Ortenaukreis,Landkreis,21
8325,Rottweil,Landkreis,21
8326,Schwarzwald-Baar-Kreis,Landkreis,22
8327,Tuttlingen,Landkreis,20
8335,Konstanz,Landkreis,21
8336,L�rrach,Landkreis,21
8337,Waldshut,Landkreis,21
8415,Reutlingen,Landkreis,21
8416,T�bingen,Landkreis,18
8417,Zollernalbkreis,Landkreis,22
8421,Ulm,kreisfreieStadt,18
8425,Alb-Donau-Kreis,Landkreis,19
8426,Biberach,Landkreis,19
8435,Bodenseekreis,Landkreis,23
8436,Ravensburg,Landkreis,20
8437,Sigmaringen,Landkreis,21
9161,Ingolstadt,kreisfreieStadt,18
9162,M�nchen,kreisfreieStadt,17
9163,Rosenheim,kreisfreieStadt,20
9171,Alt�tting,Landkreis,22
9172,BerchtesgadenerLand,Landkreis,24
9173,BadTölz-Wolfratshausen,Landkreis,22
9174,Dachau,Landkreis,19
9175,Ebersberg,Landkreis,19
9176,Eichst�tt,Landkreis,18
9177,Erding,Landkreis,17
9178,Freising,Landkreis,16
9179,F�rstenfeldbruck,Landkreis,22
9180,Garmisch-Partenkirchen,Landkreis,25
9181,LandsbergamLech,Landkreis,20
9182,Miesbach,Landkreis,23
9183,M�hldorfamInn,Landkreis,20
9184,M�nchen,Landkreis,20
9185,Neuburg-Schrobenhausen,Landkreis,19
9186,PfaffenhofenanderIlm,Landkreis,18
9187,Rosenheim,Landkreis,22
9188,Starnberg,Landkreis,23
9189,Traunstein,Landkreis,23
9190,Weilheim-Schongau,Landkreis,22
9261,Landshut,kreisfreieStadt,20
9262,Passau,kreisfreieStadt,21
9263,Straubing,kreisfreieStadt,22
9271,Deggendorf,Landkreis,21
9272,Freyung-Grafenau,Landkreis,22
9273,Kelheim,Landkreis,19
9274,Landshut,Landkreis,19
9275,Passau,Landkreis,22
9276,Regen,Landkreis,23
9277,Rottal-Inn,Landkreis,22
9278,Straubing-Bogen,Landkreis,20
9279,Dingolfing-Landau,Landkreis,19
9361,Amberg,kreisfreieStadt,24
9362,Regensburg,kreisfreieStadt,17
9363,WeideninderOberpfalz,kreisfreieStadt,23
