bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen,verh_frei_belegt,Anteil ueber 65-Jaehrigen
12,12052,3,24,17,2,10,75,19.12.21 12:15,67,6,"24,3333333333333",26
12,12053,1,9,5,1,1,13,19.12.21 12:15,13,1,"4,66666666666667",26
12,12054,6,13,8,4,13,53,19.12.21 12:15,38,6,"14,6666666666667",20
12,12060,2,13,5,2,5,61,19.12.21 12:15,61,5,22,24
12,12061,5,12,8,5,8,29,19.12.21 12:15,29,8,"12,3333333333333",24
12,12062,3,4,0,3,4,14,19.12.21 12:15,14,4,6,29
12,12063,4,6,3,2,4,19,19.12.21 12:15,19,0,"6,33333333333333",23
12,12064,3,10,6,3,3,17,19.12.21 12:15,17,3,"6,66666666666667",24
12,12065,5,7,2,5,12,30,19.12.21 12:15,30,12,14,23
12,12066,1,8,1,1,1,16,19.12.21 12:15,16,1,"5,66666666666667",29
12,12067,3,21,4,3,15,49,19.12.21 12:15,49,15,"21,3333333333333",27
12,12068,3,5,1,3,7,35,19.12.21 12:15,35,7,14,26
12,12069,3,15,8,3,9,58,19.12.21 12:15,58,9,"22,3333333333333",23
12,12070,2,3,1,2,5,9,19.12.21 12:15,9,5,"4,66666666666667",29
12,12071,3,12,1,3,2,19,19.12.21 12:15,19,2,7,28
12,12072,2,3,1,2,5,9,19.12.21 12:15,9,5,"4,66666666666667",23
12,12073,4,8,3,4,5,21,19.12.21 12:15,21,5,"8,66666666666667",28
13,13003,4,16,11,2,19,94,19.12.21 12:15,78,11,"29,6666666666667",24
13,13004,3,4,3,1,13,59,19.12.21 12:15,51,1,"17,3333333333333",26
13,13071,7,19,8,5,17,64,19.12.21 12:15,60,8,"22,6666666666667",26
13,13072,6,11,3,4,14,30,19.12.21 12:15,30,14,"14,6666666666667",24
13,13073,4,15,12,4,10,45,19.12.21 12:15,45,10,"18,3333333333333",27
13,13074,2,1,0,2,8,9,19.12.21 12:15,9,8,"5,66666666666667",24
13,13075,9,25,16,7,28,144,19.12.21 12:15,134,18,"50,6666666666667",26
13,13076,7,13,10,7,22,104,19.12.21 12:15,104,22,42,24
14,14511,7,41,26,3,18,146,19.12.21 12:15,128,10,46,28
14,14521,7,47,32,6,16,76,19.12.21 12:15,76,12,"29,3333333333333",30
14,14522,5,32,17,5,8,41,19.12.21 12:15,41,8,"16,3333333333333",29
14,14523,6,33,24,5,14,56,19.12.21 12:15,56,11,"22,3333333333333",30
14,14524,6,42,27,5,11,91,19.12.21 12:15,89,11,"33,3333333333333",30
14,14612,17,95,52,6,36,243,19.12.21 12:15,215,34,83,22
14,14625,7,35,17,6,11,57,19.12.21 12:15,57,11,"22,6666666666667",28
14,14626,7,26,11,6,10,54,19.12.21 12:15,48,10,"19,3333333333333",30
14,14627,5,36,17,5,9,57,19.12.21 12:15,57,9,22,28
14,14628,6,95,15,6,8,120,19.12.21 12:15,120,8,"42,6666666666667",28
14,14713,11,71,46,7,48,293,19.12.21 12:15,262,27,"96,3333333333333",20
14,14729,4,13,9,3,17,41,19.12.21 12:15,38,12,"16,6666666666667",27
14,14730,8,16,7,8,11,44,19.12.21 12:15,44,11,"18,3333333333333",26
15,15001,3,6,5,1,11,23,19.12.21 12:15,20,2,"7,33333333333333",32
15,15002,10,42,24,5,35,232,19.12.21 12:15,215,23,"79,3333333333333",24
15,15003,9,22,18,6,9,172,19.12.21 12:15,152,5,"52,3333333333333",25
15,15081,2,3,1,2,4,11,19.12.21 12:15,11,4,5,25
15,15082,3,14,8,3,9,24,19.12.21 12:15,24,9,11,28
15,15083,2,5,2,2,1,14,19.12.21 12:15,14,1,5,24
15,15084,3,7,5,3,6,22,19.12.21 12:15,22,6,"9,33333333333333",28
15,15085,5,14,8,4,6,47,19.12.21 12:15,42,3,15,29
15,15086,2,9,7,2,3,17,19.12.21 12:15,17,3,"6,66666666666667",26
15,15087,3,11,7,3,5,21,19.12.21 12:15,21,5,"8,66666666666667",30
15,15088,2,9,3,2,3,19,19.12.21 12:15,19,3,"7,33333333333333",26
15,15089,4,12,8,4,1,35,19.12.21 12:15,35,1,12,28
15,15090,3,5,3,2,6,16,19.12.21 12:15,16,5,7,26
15,15091,4,8,3,2,8,22,19.12.21 12:15,22,6,"9,33333333333333",29
16,16051,3,27,17,2,13,57,19.12.21 12:15,54,12,22,23
16,16052,1,13,7,1,2,42,19.12.21 12:15,42,2,"14,6666666666667",30
16,16053,3,30,12,1,4,97,19.12.21 12:15,74,3,"25,6666666666667",21
16,16054,2,7,6,1,9,19,19.12.21 12:15,14,8,"7,33333333333333",33
16,16055,1,2,0,1,4,12,19.12.21 12:15,12,4,"5,33333333333333",23
16,16056,1,8,4,1,4,13,19.12.21 12:15,13,4,"5,66666666666667",26
16,16061,2,8,4,2,1,18,19.12.21 12:15,18,1,"6,33333333333333",24
16,16062,4,11,5,3,14,38,19.12.21 12:15,31,7,"12,6666666666667",27
16,16063,3,3,2,3,14,60,19.12.21 12:15,60,14,"24,6666666666667",26
16,16064,4,5,0,3,1,16,19.12.21 12:15,14,1,5,26
16,16065,1,4,1,1,0,7,19.12.21 12:15,7,0,"2,33333333333333",28
16,16066,2,20,10,2,3,39,19.12.21 12:15,39,3,14,27
16,16067,2,8,1,2,6,13,19.12.21 12:15,13,6,"6,33333333333333",26
16,16068,1,0,0,1,1,5,19.12.21 12:15,5,1,2,25
16,16069,1,4,1,1,1,5,19.12.21 12:15,5,1,2,25
16,16070,3,12,10,2,4,13,19.12.21 12:15,12,4,"5,33333333333333",26
16,16071,3,25,20,3,4,68,19.12.21 12:15,68,4,24,24
16,16072,1,3,2,1,2,6,19.12.21 12:15,6,2,"2,66666666666667",28
16,16073,1,13,10,1,4,18,19.12.21 12:15,18,4,"7,33333333333333",30
16,16074,1,4,3,1,2,6,19.12.21 12:15,6,2,"2,66666666666667",26
16,16075,1,3,1,1,1,3,19.12.21 12:15,3,1,"1,33333333333333",27
16,16076,1,4,1,1,0,10,19.12.21 12:15,10,0,"3,33333333333333",30
16,16077,2,5,3,1,3,29,19.12.21 12:15,28,0,"9,33333333333333",31
