Datum,Bundesland,Bundesland_Id,00-04,0,05-14,15-34,35-59,60-79,80
2020-03-27,Bundesgebiet,0,26,3970,15,225,1103,1656,945
2020-03-26,Bundesgebiet,0,23,3482,15,222,1001,1428,793
2020-03-25,Bundesgebiet,0,25,2994,9,196,898,1206,660
2020-03-24,Bundesgebiet,0,18,2530,6,169,789,996,552
2020-03-23,Bundesgebiet,0,14,2231,6,152,726,861,472
2020-03-22,Bundesgebiet,0,12,2017,5,146,670,759,425
2020-03-21,Bundesgebiet,0,8,1690,5,138,579,628,332
2020-03-20,Bundesgebiet,0,8,1404,4,112,518,509,253
2020-03-19,Bundesgebiet,0,7,1129,4,85,446,391,196
2020-03-18,Bundesgebiet,0,2,860,4,70,347,299,138
2020-03-17,Bundesgebiet,0,2,686,4,65,295,224,96
2020-03-16,Bundesgebiet,0,2,525,2,54,238,152,77
2020-03-15,Bundesgebiet,0,3,450,2,49,212,127,57
2020-03-14,Bundesgebiet,0,2,394,2,44,185,116,45
2020-03-13,Bundesgebiet,0,3,322,5,37,146,97,34
2020-03-12,Bundesgebiet,0,3,263,4,35,118,76,27
2020-03-11,Bundesgebiet,0,2,221,4,30,108,53,24
2020-03-10,Bundesgebiet,0,2,183,3,22,94,45,17
2020-03-09,Bundesgebiet,0,2,160,3,23,84,37,11
2020-03-08,Bundesgebiet,0,1,149,3,25,76,35,9
2020-03-07,Bundesgebiet,0,1,133,3,22,72,26,9
2020-03-06,Bundesgebiet,0,0,91,0,18,53,16,4
2020-03-05,Bundesgebiet,0,0,76,0,17,41,16,2
2020-03-04,Bundesgebiet,0,0,64,0,17,34,12,1
2020-03-03,Bundesgebiet,0,0,46,0,16,23,6,1
2020-03-02,Bundesgebiet,0,0,29,0,11,15,3,0
2020-03-01,Bundesgebiet,0,0,24,0,9,12,3,0
